province,sex,age_group,education,religion,household_size,marital,feeling_lifes
Quebec,2,"(48,53]",High school diploma or certificate,Somewhat important,1,Never Married,Very satisfied
Manitoba,1,"(48,53]",University certificate or diploma below the bachelor's level,Don't know/ Prefer not to answer,2,Married,Very satisfied
Ontario,2,"(63,68]",Bachelor's degree,Very important,2,Married,Very satisfied
Alberta,2,"(78,83]",High school diploma or certificate,Not important at all,2,Married,Very satisfied
Quebec,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,2,Living with a partner,Very satisfied
Quebec,2,"(58,63]",High school diploma or certificate,Very important,2,Married,Very satisfied
Nova Scotia,2,"(58,63]",Less than high school diploma,Somewhat important,1,Never Married,Not very satisfied
Quebec,2,"(78,83]",Less than high school diploma,Somewhat important,1,Divorced,Very satisfied
British Columbia,2,"(63,68]",High school diploma or certificate,Very important,1,Never Married,Very satisfied
Saskatchewan,1,"(23,28]",Less than high school diploma,Somewhat important,6,Never Married,Not very satisfied
Manitoba,2,"(38,43]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Fairly satisfied
Prince Edward Island,2,"(53,58]",High school diploma or certificate,Very important,2,Married,Fairly satisfied
Quebec,2,"(23,28]",University certificate or diploma below the bachelor's level,Not very important,4,Living with a partner,Very satisfied
Quebec,2,"(63,68]",High school diploma or certificate,Somewhat important,2,Living with a partner,Fairly satisfied
British Columbia,2,"(28,33]",Bachelor's degree,Not very important,2,Never Married,Very satisfied
Ontario,1,"(68,73]",High school diploma or certificate,Somewhat important,3,Married,Very satisfied
British Columbia,2,"(33,38]",Bachelor's degree,Not important at all,2,Never Married,Very satisfied
Quebec,1,"(68,73]",Bachelor's degree,Not important at all,2,Married,Very satisfied
New Brunswick,1,"(38,43]",Bachelor's degree,Not important at all,5,Living with a partner,Very satisfied
Ontario,1,"(63,68]","University certificate, diploma or degree above",Not important at all,2,Married,Very satisfied
Manitoba,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Very satisfied
British Columbia,1,"(48,53]",Bachelor's degree,Not very important,1,Never Married,Very satisfied
Quebec,2,"(63,68]",University certificate or diploma below the bachelor's level,Very important,1,Divorced,Very satisfied
Ontario,1,"(73,78]",Bachelor's degree,Not very important,1,Never Married,Very satisfied
Ontario,2,"(28,33]","University certificate, diploma or degree above",Not very important,1,Never Married,Fairly satisfied
Saskatchewan,2,"[18,23]",Less than high school diploma,Not very important,3,Never Married,Not at all satisfied
Quebec,2,"(38,43]",Bachelor's degree,Somewhat important,2,Separated,Fairly satisfied
Alberta,1,"(43,48]",High school diploma or certificate,Somewhat important,2,Living with a partner,Very satisfied
Quebec,2,"(38,43]",Bachelor's degree,Somewhat important,4,Living with a partner,Very satisfied
Manitoba,1,"(78,83]",Less than high school diploma,Somewhat important,1,Widowed,Fairly satisfied
Quebec,2,"(78,83]",High school diploma or certificate,Very important,1,Widowed,Very satisfied
Ontario,1,"(68,73]",University certificate or diploma below the bachelor's level,Very important,1,Separated,Very satisfied
Newfoundland and Labrador,1,"(68,73]",Less than high school diploma,Not very important,2,Married,Very satisfied
British Columbia,1,"(28,33]",Bachelor's degree,Not important at all,3,Never Married,Fairly satisfied
Ontario,2,"(73,78]","University certificate, diploma or degree above",Somewhat important,1,Never Married,Very satisfied
